178,"鹿"
azure_striker_gunvolt,"天蓝色前锋枪伏"
bad_end_precure,"坏端预固化"
bola_(weapon),"波拉(武器)"
chigasaki_yukari,"茅崎由香里"
christian_louboutin_(brand),"christianlouboutin(品牌)"
cu_chulainn_(fate/prototype),"cuchulainn(fate/原型)"
hagiya_masakage,"萩谷正影"
hazuki_nagisa,"叶月渚"
hinoue_itaru,"日上伊塔鲁"
iwatani_naofumi,"岩谷尚文"
kamen_rider_kuuga,"假面骑士空我"
kampfer,"坎普弗"
katagiri_hachigou,"片桐八乡"
kienbiu,"剑比乌"
kounosu_satori,"光之苏悟"
makai_tenshi_djibril,"魔界天师djibril"
masaki_sasami_jurai,"正树佐美树井"
miyako_(naotsugu),"宫古(直继)"
mizuta_kenji,"水田贤治"
mortarboard,"砂浆板"
ouendan,"万丹"
peni_parker,"阴茎帕克"
portal_1,"门户网站1"
powerlesssong,"无力之歌"
pumpkaboo,"南瓜"
purple_headband,"紫色头带"
putting_on_shoes,"穿鞋"
rumble_roses,"隆隆玫瑰"
sheep_nun_(diva),"绵羊修女(diva)"
swordsman_(ragnarok_online),"剑客(仙境传说在线)"
text_in_eyes,"眼睛里的文字"
tied_sleeves,"绑袖"
tomoyuki_kotani,"小谷智之"
tsukigami_runa,"月神runa"
utage_(summer_flowers)_(arknights),"utage(夏花)(arknights)"
warframe,"战甲"
weather_report,"天气报告"
wing_ornament,"翼饰"
yutamaro,"汤太郎"
abe_yoshitoshi,"安倍佳俊"
adiane,"阿黛安娜"
baking_sheet,"烤盘"
between_buttocks,"臀部之间"
blue_gk,"蓝色gk"
bonnie_(rsg),"邦妮(rsg)"
calcio,"钙"
cannibalism,"同类相食"
captive_bead_ring,"圈养珠环"
captured,"捕获"
chung_seiker,"钟世客"
courreges_ace,"球场王牌"
cthulhu,"克苏鲁"
cure_mint,"治愈薄荷"
dildo_under_panties,"内裤下的假阳具"
elona,"伊洛娜"
gurren-lagann,"红莲-拉甘"
handrail,"扶手"
hatching,"孵化"
heart_eyepatch,"心形眼罩"
heart_hair_bun,"心形发髻"
hori_masayuki,"堀正幸"
ishikawa_luna,"石川露娜"
joy_(pokemon),"欢乐(口袋妖怪)"
julia_(fire_emblem),"朱莉娅(火徽)"
kieyza,"基耶扎"
kiss_day,"接吻日"
maruma_(maruma_gic),"丸间(marumagic)"
megumiya,"惠宫"
melody_(projektmelody),"旋律(projektmelody)"
mizuhara_yuu,"水原悠"
monocle_chain,"单片眼镜链"
multiple_hat_bows,"多个帽子蝴蝶结"
nora_valkyrie,"诺拉女武神"
ohland,"奥克兰"
paradeus,"游行"
pokemon:_twilight_wings,"口袋妖怪：暮光之翼"
resort_boin,"度假村博恩"
rune_factory_4,"符文工厂4"
smelling_penis,"闻阴茎"
ssambatea,"桑巴茶"
stealth_masturbation,"隐形手淫"
steampunk_(liarsoft),"蒸汽朋克(liarsoft)"
stella_unibell,"斯特拉unibell"
tawawa_challenge,"塔瓦瓦挑战,tawawa挑战/用胸撑起平放的手机"
the_emperor_(arknights),"皇帝(方舟骑士)"
the_saga_of_darren_shan,"大连山的传奇"
vashperado,"瓦什佩拉多"
vertical-striped_gloves,"竖条纹手套"
virtual_on,"虚拟开启"
wasabi_(sekai),"芥末(sekai)"
white_jumpsuit,"白色连身裤"
white_tube_top,"白色抹胸"
akaneya,"茜屋"
artwhirl_mahou_gakuen_no_otome-tachi,"artwhirl魔法学园的乙女立"
awakened_miki,"觉醒的三木"
censored_food,"审查食品,打码食品"
cure_chocolat,"治愈巧克力"
diary,"日记"
face_between_breasts,"两乳之间的脸"
floating_headgear,"浮动头饰"
fujimoto_hideaki,"藤本英明"
grandfather_clock,"落地钟"
grey_cat,"灰猫"
hatoyama_itsuru,"鸠山五郎"
houkago_teibou_nisshi,"法子帝国日志"
hyper_blossom,"超级开花"
injection,"注射"
kakine_teitoku,"柿根帝德"
koban_(gold),"koban(金)"
meliodas,"梅利奥达斯"
milim_nava,"米利姆纳瓦"
natsumi_akira,"夏美晃"
naufaldreamer,"梦想家"
pokemon_on_arm,"手臂上的口袋妖怪"
red_bandeau,"红色抹胸"
repede_(tales),"repede(故事)"
santa_matsuri,"圣诞老人祭"
shattered,"粉碎"
shoulder_cape,"披肩,肩披肩"
tenkuu_no_crystalia,"天国无水晶"
tsuruga_school_uniform,"敦贺校服"
van_gogh_(fate),"梵高(fate)"
vento,"文托"
watao,"哇淘"
witch_mercy,"女巫怜悯"
wolfrun,"狼跑"
wooden_box,"木箱"
yabuki_kana,"矢吹假名"
yagami_kou,"八神口"
yuuki_akira,"优纪晃"
zone_of_the_enders,"终结区"
aardwolf_(kemono_friends),"aardwolf(kemono朋友)"
abua,"阿布阿"
african_penguin_(kemono_friends),"非洲企鹅(kemono朋友)"
amane_misa,"天籁美沙"
brave_girl_ravens,"勇敢的女孩乌鸦"
bucket_on_head,"头上的水桶"
bumblebee_(transformers),"大黄蜂(变形金刚)"
busou_renkin,"布苏人金"
c.c._lemon_(character),"cc柠檬(字符)"
chamupei,"查梅佩"
chikuma_kai_ni_(kancolle),"chikumakaini(舰娘)"
citrus_(saburouta),"柑橘(saburouta)"
collagen,"胶原蛋白"
crimvael,"克里姆维尔"
crumpled_paper,"皱巴巴的纸"
dark_orb_(madoka_magica),"黑暗宝珠(魔法小圆)"
dduck_kong,"鸭鸭"
dead_by_daylight,"死在白天"
diamond_clan_outfit,"钻石族装"
doppelganger,"分身"
eye_print,"眼纹"
female_gunner_(dungeon_and_fighter),"女炮手(地下城与战士)"
glass_writing,"玻璃书写"
goose,"鹅"
hanged,"绞死"
hashimoto_nyaa,"桥本nyaa"
hirunagi,"天気"
horibe_hiderou,"堀部秀郎"
hoshikuzu_witch_meruru,"hoshikuzu魔女meruru"
jewelpet_twinkle,"宝石闪烁"
kaenuco,"卡努科"
kousaka_china,"红坂中国"
kuroda_akimi,"黑田明见"
kuroda_kazuya,"黑田和也"
laces,"鞋带"
momomiya_ichigo,"桃宫一护"
mortal_kombat,"真人快打"
moyori,"怀里"
nanakusa_nichika,"七草日香"
nome_(nnoommee),"诺姆(nnoommee)"
oosuki_mamako,"大须真真子"
purple_border,"紫色边框"
red_shawl,"红色披肩"
shin_strap,"胫带"
shiratsuki_shiori,"白月诗织"
single-shoulder_dress,"单肩连衣裙"
splat_roller_(splatoon),"splat滚筒(splatoon)"
suenari_(peace),"suenari(和平)"
text_censor,"文本审查器"
togata_mirio,"远方美里奥"
vanripper,"开膛手"
zipper_dress,"拉链连衣裙"
allen_walker,"艾伦沃克"
beelzebub_(umineko),"别西卜(umineko)"
bloodhound_(apex_legends),"猎犬(顶级传奇)"
braces,"牙套"
ceylon_(arknights),"锡兰(方舟之夜)"
chocoan,"巧克力"
cub,"幼崽"
distortion,"失真"
flower_bed,"花坛,花床"
fuji_kiseki_(umamusume),"富士kiseki(umamusume)"
gaap_(umineko),"公认会计准则(umineko)"
hair_scarf,"发巾,头发围巾"
hellandheaven,"地狱天堂"
hiroe_rei,"广惠丽"
holding_plant,"控股厂"
houzouin_oniwaka,"法藏院鬼若"
huei_nazuki,"惠奈月"
iwato_kasumi,"岩户霞"
joker_(card),"小丑(卡片)"
kitazinger,"基辛格"
koffing,"考芬"
large_ears,"大耳朵"
layered_gloves,"分层手套"
loading_screen,"加载屏幕"
mameeekueya,"马米奎亚"
mogiki_hayami,"茂木速见"
mystia_lorelei_(bird),"神秘的罗蕾莱(鸟)"
nabe,"火锅"
naitou_kouse,"内投kouse"
oka_mochi,"冈麻糬"
prime,"素数"
prince_of_samantoria,"萨曼托利亚王子"
s-now,"现在"
saitou_hajime_(fate),"斋藤始(fate)"
smash_invitation,"粉碎邀请"
sumisaki_yuzuna,"隅崎柚菜"
t_k_g,"吨公斤"
tama_(tama-s),"多摩(tama-s)"
tenki_no_ko,"天机之子"
tsukioka_tsukiho,"月冈月穗"
tsurumi_chiriko,"鹤见千子"
vehicle_request,"车辆请求"
yellow_lips,"黄色的嘴唇"
yusa_emi,"尤萨emi"
zundarepon,"尊达拉蓬"
adjusting_goggles,"调节护目镜"
aka_ringo,"又名林戈"
akita_hika,"秋田彦"
azuki_azusa,"小豆梓"
bailingxiao_jiu,"百灵小酒"
bucket_of_water,"一桶水"
buckler,"扣环"
captain_(honkai_impact),"队长(本海冲击)"
carriage,"马车"
creator_(ragnarok_online),"创作者(仙境传说在线)"
dying_message,"垂死的消息"
electro_emilia,"电艾米利亚"
factory,"工厂"
fiery_background,"火热的背景"
garnish,"装饰"
gisyo,"吉约"
goribote,"戈里博特"
hayakawa_akari,"早川明里"
hisayuki_hirokazu,"久之广和"
holding_crossbow,"手持弩"
jason_voorhees,"杰森·沃里斯"
k_(anime),"k(动漫)"
kamichu!,"神中！"
kinnikuman,"金肉人"
kshimu,"克希姆"
kuromi,"黑见"
long_scarf,"长围巾"
miltank,"牛奶罐"
mizushima_saki,"水岛咲"
money_gesture,"金钱手势"
nanami_haruka,"七海遥"
orenchi_no_meidosan,"桔梗没有明道散"
paya_(zelda),"paya(塞尔达)"
penny_polendina,"便士波伦蒂娜"
pinky_ring,"小指环"
prince,"王子"
pururut,"普鲁鲁特"
racer_(magnet),"赛车手(磁铁)"
rikumaru,"陆丸"
safety_glasses,"安全眼镜"
scolipede,"千足虫"
shelf_bra,"搁架文胸,无顶文胸/露出乳头的胸罩"
shirayuki_mizore,"白雪水濑"
tamamon,"塔玛蒙"
the_evil_within,"内心的邪恶"
twumi,"图米"
u_yuz_xx,"你yuzxx"
vanguard_princess,"先锋公主"
wonder_festival,"奇迹节"
alternate_muscle_size,"交替肌肉大小"
amaryllis_gumi,"阿玛丽利斯古米"
beelzebub_(helltaker),"别西卜(地狱猎手)"
beige_pants,"米色裤子"
black_sarong,"黑色纱笼"
bust_measuring,"胸围测量,罩杯测量"
bwell,"好"
color_drain,"色漏,惊讶到掉色"
destroyer_(girls'_frontline),"驱逐舰(少女前线)"
furious,"愤怒"
g-spring_goddess_(ishiyumi),"g-弹簧女神(ishiyumi)"
grand_theft_auto,"侠盗猎车手"
hand_fan_writing,"手扇写作"
hasshaku-sama,"八尺大人"
hitowa,"希托瓦"
igawa_sakura,"井川樱花"
kesoshirou,"袈裟郎"
kibanda_gohan,"基班达悟饭"
kokutou_mikiya,"国头干屋"
kurono_yuu,"黑野悠"
leblanc_(league_of_legends),"leblanc(英雄联盟)"
matsumotoke,"松本"
mega_man_x_dive,"洛克人x潜水"
mizoguchi_keiji,"沟口庆次"
morimoto_kiyona,"森本清奈"
mortar,"砂浆"
naked_belt,"裸腰带"
nanase_meruchi,"七濑meruchi"
nekono_rin,"猫之凛"
pathfinder_(apex_legends),"探路者(顶点传奇)"
riv,"河"
ryuuzaki_umi,"龙崎海"
striped_pillow,"条纹枕头"
sushio,"寿司"
test,"测试"
watanabe_yoshihiro,"渡边义弘"
yomiko_readman,"读经人"
allen_avadonia,"艾伦阿瓦多尼亚"
aoyama_sumika,"青山纯香"
ballistic_shield,"防弹盾牌"
blowing_smoke,"冒烟"
bluebird,"蓝鸟"
clown_nose,"小丑鼻子"
ddal,"达尔"
doomguy,"末日之子"
ear_down,"耳朵向下"
endou_okito,"远藤冲人"
grey_cloak,"灰色斗篷"
groudon,"固拉多"
hecatia_lapislazuli_(earth),"青金石(土)"
hoshi_(snacherubi),"星(snacherubi)"
houston_(kancolle),"休斯顿(舰娘)"
inu_(marukome),"犬(丸目)"
ka-class_submarine,"ka级潜艇"
kaede_(yumesaki_kaede),"枫(梦咲枫)"
kiryuu_moeka,"桐生萌花"
lefthand,"左撇子"
lipps_(idolmaster),"lipps(偶像大师)"
liru,"里如"
luca_kaneshiro,"卢卡金城"
luger_p08,"雪橇犬p08"
makimura_shunsuke,"牧村俊介"
nextoad,"下一个"
nightstand,"床头柜"
phantasy_star_portable_2,"梦幻之星便携2"
pina_korata,"菠萝科拉塔"
pokemon_rgby_(prototype),"口袋妖怪rgby(原型)"
print_eyepatch,"打印眼罩"
sakamoto_mineji,"坂本峰路"
scarlet_ibis_(kemono_friends),"猩红色宜必思(kemono朋友)"
shishiou,"石狮欧"
ski_goggles,"滑雪镜"
smeared_lipstick,"涂抹口红"
starfire,"星火"
taihou_(temptation_on_the_sea_breeze)_(azur_lane),"太后(海风的诱惑)(碧蓝航线)"
takishima_asaka,"泷岛朝霞"
too_many_sex_toys,"性玩具太多"
toriel,"托里尔"
tousen,"当森"
wicke_(pokemon),"邪恶(宠物小精灵)"
breast_measuring,"胸围测量,罩杯测量"
adeleine,"阿德莱娜"
araiguma-san,"有熊山"
blue_sports_bra,"蓝色运动文胸"
cinque_(nanoha),"五(nanoha)"
corsola,"科索拉"
emon-yu,"右卫门"
fanning_crotch,"扇形胯部"
garlean,"加利安"
gunner_(sekaiju),"炮手(世界树)"
gym_challenge_uniform,"健身房挑战服"
hand_on_hand,"手头上"
holding_rope,"握绳"
janna_(league_of_legends),"珍娜(英雄联盟)"
kenuu_(kenny),"肯努(肯尼)"
linhardt_von_hevring,"林哈特·冯·赫夫林"
makai_no_juumin,"魔界之主民"
matsunaga_ryo,"松永凉"
morgana_(league_of_legends),"摩根娜(英雄联盟)"
mutou_kurihito,"武当栗人"
nipple_torture,"虐乳头,乳头折磨"
peach_maki,"桃卷"
saikawa_riko,"西川理子"
saishi,"赛士"
salpin,"沙平"
sara_(granblue_fantasy),"萨拉(碧蓝幻想)"
scooby-doo,"史酷比"
seisenshi_dunbine,"清泉师邓比"
stuffing,"馅料"
sweets_bird,"糖果鸟"
tedeza_rize's_school_uniform,"tedezarize的校服"
ushiyama_ame,"牛山鲲"
uzumaki_himawari,"漩涡向日葵"
yoga,"瑜伽"
zeta_gundam_(mobile_suit),"zeta高达(机动战士)"
amibazh,"阿米巴日"
aqua_vest,"水背心"
asakura_rikako,"朝仓梨花子"
blue_hawaii,"蓝色夏威夷,蓝色夏威夷（鸡尾酒）"
cai_geng,"菜耕"
ea_(fate/stay_night),"ea(fate/留宿之夜)"
edea_lee,"艾迪·李"
flirting,"调情"
fortune_arterial,"财富大动脉"
frankenstein's_monster_(cosplay),"科学怪人的怪物(角色扮演)"
hamburger_steak,"汉堡牛排"
haruka_natsuki,"夏树遥"
hifumi_(swimsuit)_(blue_archive),"hifumi(泳装)(蓝色档案)"
holding_candle,"拿着蜡烛"
honolulu_(kancolle),"檀香山(舰娘)"
ka2,"卡2"
kawakami_masaki,"川上正树"
kidmo,"孩子"
kitajima_yuuki,"北岛优树"
kyoeiki,"共荣机"
li_shuwen_(fate),"李书文(fate)"
lifeguard,"救生员"
loba_(apex_legends),"loba(顶点传奇)"
mitsu_(mitsu_art),"三津(三津艺术)"
mutsutake,"梧桐"
my_dear_vampire_(idolmaster),"我亲爱的吸血鬼(偶像大师)"
nazuna_(hidamari_sketch),"nazuna(hidamari素描)"
negi_springfield,"内吉斯普林菲尔德"
nibiiro_shizuka,"nibiiro静香"
nightingale_(arknights),"夜莺(arknights)"
nipple_pain,"虐乳头"
palette_swap,"调色板交换,色调互换"
pipa_(instrument),"琵琶(乐器)"
qian_wu_atai,"千物阿泰"
railgun,"轨道炮"
ren_san,"仁三"
ribeyrolles_(girls'_frontline),"ribeyrolles(女子前线)"
rolling_girl_(vocaloid),"滚动的女孩(vocaloid)"
sanada_clan_(emblem),"真田氏(徽章)"
shauntal_(pokemon),"shauntal(口袋妖怪)"
shoumaru_(gadget_box),"shoumaru(小工具盒)"
sonoda_yuu,"园田悠"
sora_(blue_archive),"sora(蓝色档案)"
spraying,"喷涂"
stick_figure,"简笔画"
tales_of_destiny,"fate的故事"
tapir,"貘"
tateishi_kureha,"立石吴羽"
tokyo_exe_girls,"东京exe女孩"
tomotsuka_haruomi,"友冢春美"
warabeda_meijii,"原田明治"
yamamomo_(plank),"yamamomo(木板)"
yamato_suzuran,"大和铃兰"
akatsuki_(log_horizon),"晓(原木地平线)"
akira_(kadokawa),"晃(角川)"
asama_tomo,"浅间友"
bakuya,"爆夜"
bastet_(p&d),"巴斯特(p&d)"
baton,"指挥棒"
belphegor_(umineko),"贝尔菲格(umineko)"
black_sweater_vest,"黑色毛衣背心"
blaze_the_cat,"点燃猫"
bloody_marie_(skullgirls),"血腥玛丽(骷髅女孩)"
brown_shawl,"棕色披肩"
dabi_(boku_no_hero_academia),"dabi(bokunohero学院)"
dr._slump,"博士。暴跌"
dragon's_dogma,"龙的教条"
eunos,"优诺斯"
fallenshadow,"堕落的影子"
floating_breasts,"浮动的乳房,漂浮的乳房"
freng,"锋"
futon_(kitsune_tsuki),"蒲团(kitsunetsuki)"
gainax,"增益"
goblin_slayer,"哥布林杀手"
green_pajamas,"绿色睡衣"
hasebe_yuusaku,"长谷部悠作"
hollow_knight,"空心骑士"
jairou,"斋柔"
kimidori_emiri,"kimidori埃米尔"
kiryuu_kazuma,"桐生和真"
kiwi_slice,"猕猴桃片,猕猴桃切片"
little_blue_whale_(kancolle),"小蓝鲸(舰娘)"
macross_frontier:_sayonara_no_tsubasa,"超时空要塞边境：sayonaranotsubasa"
marchen,"三月"
morio_(poke_orio),"morio(戳orio)"
nikku_(ra),"日空(ra)"
nirap,"尼拉普"
noise,"噪音"
opagi,"欧帕吉"
salamence,"萨拉曼斯"
scissorhold,"剪刀式"
shigunyan,"石谷岩"
vampire_(vocaloid),"吸血鬼(vocaloid)"
window1228,"窗口1228"
witch_craft_works,"巫术作品"
archetype_earth,"原型地球"
bald_girl,"秃头女孩"
bazooka_(gundam),"火箭筒(高达)"
black_gold_saw,"黑金锯"
carina_(xiaowoo),"carina(小宇)"
cure_macaron,"治愈马卡龙"
defy_(girls'_frontline),"无视(少女前线)"
fal_maro,"法尔马罗"
female_orc,"女兽人"
fn_scar,"fn疤痕"
goback,"回归"
green_buruma,"绿色缅甸"
hanarito,"花鸟"
hyde_(tabakko),"海德(tabakko)"
iijima_yun,"饭岛云"
inuarashi,"犬岚"
iv_stand,"四站"
jack-o'-lantern_earrings,"南瓜灯耳环"
kamotama,"鸭玉"
kkopoli,"科波利"
maaryan_(to_heart),"玛雅人(心)"
mario_(cosplay),"马里奥(角色扮演)"
miya_(tsumazukanai),"宫(妻冢内)"
nakigitsune's_fox,"卷月的狐狸"
natalia_luzu_kimlasca_lanvaldear,"娜塔莉亚·卢祖·金拉斯卡·兰瓦尔迪尔"
nou_(nounknown),"诺(无名)"
oohira_sunset,"大平日落"
oomiya_shinobu,"大宫忍者"
overman_king_gainer,"超人国王赢家"
saiba_(henrietta),"赛巴(亨丽埃塔)"
sogawa,"苏川"
spoken_zzz,"口语zzz"
teoi_(good_chaos),"teoi(好混乱)"
the_only_shoe,"唯一的鞋"
uno_ryoku,"宇野绿"
watsuki_ayamo,"绫茂绫木"
xin_yu_hua_yin,"新宇华银"
adjusting_shoe,"调节鞋"
amakusa_juuza,"天草十座"
anastasia_(swimsuit_archer)_(fate),"阿纳斯塔西娅(泳装弓箭手)(fate)"
angel_devil_(chainsaw_man),"天使恶魔(电锯人)"
axsen,"阿森"
baku_taso,"巴库塔索"
banana_(girls'_frontline),"香蕉(少女前线)"
bomber,"轰炸机"
bound_thighs,"绑大腿"
cleats,"防滑钉"
ex_idol,"前偶像"
farm,"农场"
fighting_master_alleyne,"战斗大师阿莱恩"
fizintine,"苯丙胺"
futaba_miwa,"双叶三轮"
german_suplex,"德语suplex"
hands_on_another's_back,"双手背在别人的背上"
himura_kenshin,"喜村谦信"
hoe,"锄头"
hood_(james_x),"引擎盖(詹姆斯x)"
ichio,"一尾"
ji_dao_ji,"极道极"
kani_club,"卡尼俱乐部"
karen_(pokemon),"卡伦(宠物小精灵)"
kazawa_(tonzura-d),"风泽(tonzura-d)"
kuzu_kow,"葛根口"
maxie_(pokemon),"马克西(宠物小精灵)"
miki_purasu,"三木purasu"
naked_skirt,"裸裙"
oleana_(pokemon),"oleana(口袋妖怪)"
open_bikini,"打开比基尼"
rainbow_dash,"彩虹短跑"
ridy_(ri_sui),"瑞迪(risui)"
shigure_ui,"时雨ui"
shoulder_plates,"肩板"
sled,"雪橇"
soul_evans,"灵魂埃文斯"
spoken_x,"口语x"
sugina_miki,"杉菜三木"
suzumura_sango,"铃村三五"
trente,"特伦特"
udagawa_ako,"田川赤子"
ursula_charistes,"乌苏拉·克里斯蒂斯"
wet_legwear,"湿腿裤"
whale_hat,"鲸鱼帽"
youtube_logo,"youtube徽标"
yusa_(angel_beats!),"尤萨(天使节拍！)"
zanamaoria,"萨纳莫里亚"
akamoku,"赤木"
akishimo_(kancolle),"秋下(舰娘)"
awakening_(sennen_sensou_aigis),"觉醒(sennensensouaigis)"
bell_earrings,"钟形耳环"
black_gothic_dress_(idolmaster),"黑色哥特式连衣裙(偶像大师)"
bokujou_monogatari,"木条物语"
colis,"大肠杆菌"
cure_lemonade,"治疗柠檬水"
facing_up,"朝上"
feena_fam_earthlight,"fenafam地球之光"
frilled_sash,"褶边腰带"
ghost_print,"鬼印"
hayanami_(kancolle),"早波(舰娘)"
idolmaster_xenoglossia,"偶像大师异语"
kamen_rider_double,"假面骑士双"
l'ecole_des_cinq_lumieres_school_uniform,"l'ecoledescinqlumieres校服"
memory,"内存"
mind_reading,"读心术"
monicanc,"莫尼卡"
naga_the_serpent,"蛇娜迦"
noctchill_(idolmaster),"noctchill(偶像大师)"
pink_sclera,"粉红色巩膜"
polka_dot_pajamas,"波点睡衣"
ringozaka_mariko,"环坂麻理子"
salmon88,"三文鱼88"
sido_(slipknot),"sido(活结)"
slow_start,"慢启动"
strong_zero,"强零"
stuffed_bird,"毛绒鸟"
tactile_paving,"触觉铺路"
taichou_haori,"台州外罩"
teletha_testarossa,"泰莎塔罗萨"
tenka_touitsu_chronicle,"tenkatouitsu编年史"
tied_ears,"绑耳朵"
tomari_mari,"万里玛丽"
velvet_(odin_sphere),"天鹅绒(奥丁球)"
victini,"维提尼"
white_veil,"白色面纱"
yukino_minato,"雪野凑"
airborne,"空降"
akiyama_rinko,"秋山临子"
ana_(rznuscrf),"安娜(rznuscrf)"
armpit_focus,"腋窝焦点"
bioshock_(series),"生化奇兵(系列)"
chikotam,"奇科坦"
danball_senki,"弹丸战记"
deemo,"演示"
dera_mochimazzui,"德拉mochimazzui"
dew_drop,"露珠"
doujima_ryoutarou,"同岛凉太郎"
green_umbrella,"绿伞"
hakuryou_high_school_uniform,"白龙高中校服"
helena_(kancolle),"海伦娜(舰娘)"
hisuian_zorua,"翡翠庵"
ishikirimaru,"石切丸"
iwado_anna,"岩户安娜"
kaoming,"高明"
kawarajima_kou,"河原岛口"
kousaka_yukiho,"高坂雪穗"
kudou_fuyuka,"工藤冬香"
kurebayashi_noe,"吴林野江"
mabinogi_heroes,"mabinogi英雄"
maho_moco,"马霍莫科"
mitsurugi_sugar,"三木糖"
mochitsuki,"月饼"
musen-shiki_sanhankikan,"无泉式三韩机馆"
nanase_aoi,"七濑葵"
nyanya,"娘惹"
ophelia_phamrsolone,"奥菲莉亚·帕姆索龙"
power_girl,"权力的女孩"
purple_sclera,"紫色巩膜"
rib:y(uhki),"肋骨：y(uhki)"
rito453,"里托453"
sat-c,"卫星-c"
saunders_(emblem),"桑德斯(会徽)"
scanlines,"扫描线"
tanaka_rikimaru,"田中力丸"
tsuji_kazuho,"辻和穗"
velvet_scarlatina,"天鹅绒猩红"
virtuous_contract,"道德契约"
wakino_keibun,"胁野经文"
white_romper,"白色连身衣"
?_block,"?块"
aizen_kunitoshi,"蓝染国志"
akizone,"秋宗"
anemone_(flower),"海葵(花)"
aoshidan_school_uniform,"奥士丹校服"
arimura_yuu,"有村悠"
artoria_pendragon_(swimsuit_archer)_(first_ascension)_(fate),"artoriapendragon(泳装弓箭手)(第一次升天)(fate)"
begging,"乞讨"
breast_awe,"乳房敬畏,着迷于乳房"
broken_wall,"破墙"
bud,"芽"
budew,"布杜"
dj_max,"dj最大"
downtown_no_gaki_no_tsukai_ya_arahende!!,"市区之垣之使者arahende!!"
eva_00,"伊娃00"
food_theft,"食物盗窃"
fuji_fujino,"富士藤野"
funny_glasses,"有趣的眼镜"
gatchan,"加查"
green_sash,"绿色腰带"
gyozanuko,"饺子"
haruka_(blue_archive),"haruka(蓝色档案)"
heirou,"黑肉"
helma_lennartz,"赫尔玛·伦纳茨"
human_chair,"人体椅"
kagayaki_homare,"香烧本丸"
kibushi,"纪武士"
kimizuka_aoi,"君冢葵"
kudou_shin'ichi,"工藤新一"
kuhotaka,"久穗高"
lao_jiu,"老酒"
mascot_costume,"吉祥物服装"
nanakusa_hazuki,"叶月七草"
nori_(seaweed),"紫菜(海藻)"
nt-d,"新台币-d"
nuka_(nvkka),"核子(nvkka)"
ogre,"食人魔"
pink_fire,"粉红色的火"
pointy_hat,"尖顶帽子"
rakudai_kishi_no_cavalry,"乐大岸骑兵"
rhapsody,"狂想曲"
sasamori_karin,"笹森卡琳"
sawaizumi_chiyu,"泽泉知友"
selection_university_(emblem),"选择大学(标志)"
seras_victoria,"维多利亚"
silver_footwear,"银鞋"
stalking,"跟踪"
super_sass_(girls'_frontline),"超级sass(少女前线)"
taa_(acid),"taa(酸)"
takaramonozu,"宝物"
toriyama_akira_(style),"鸟山明(风格)"
voyager_(fate),"航海者(fate)"
yaso_shigeru,"八庄茂"
anyannko,"安扬科"
billiard_ball,"台球"
chimunge,"铃铛"
cocozasa,"可可萨"
cooking_pot,"锅,煮锅"
coroha,"卡罗哈"
creek_(moon-sky),"小溪(月亮天空)"
extended_downblouse,"加长罩衫"
fei_rune,"飞符文"
fuzukikai,"风月会"
gojou_wakana,"五条若菜"
growlanser,"种植者"
hazuki_(sutasuta),"叶月(sutasuta)"
head_on_ass,"正面交锋"
honkai:_star_rail,"本海：星轨"
ibaraki_douji_(swimsuit_lancer)_(fate),"茨城童子(泳装枪手)(fate)"
ice_cream_cup,"冰淇淋杯"
julia_(idolmaster),"朱莉娅(偶像大师)"
kakyuusei,"觉星"
kokonose_haruka,"九濑遥"
lecia_(granblue_fantasy),"lecia(碧蓝幻想)"
menou_kaname,"菜单要名"
nefertari_vivi,"娜芙塔丽·维维"
oono_kanako,"小野加奈子"
otter_spirit_(touhou),"水獭精灵(东方)"
pokimari,"波基马里"
ruhika,"鲁希卡"
screencap_inset,"屏幕截图插图"
shadow_hearts,"暗影之心"
shining_hearts,"闪亮的心"
sitting_on_animal,"坐在动物上"
spike_ball,"穗球"
string_phone,"串电话"
the_great_ace_attorney,"伟大的王牌律师"
thin_(suzuneya),"瘦(铃屋)"
tile_ceiling,"瓷砖天花板"
tmp_(girls'_frontline),"tmp(女子前线)"
uchuu_patrol_luluco,"uchuu巡逻luluco"
urashima_kotetsu,"浦岛甲铁"
urotan,"乌坦"
yoshimo,"吉茂"
zun,"尊"
akira_shiun,"晃志云"
alisa_reinford,"艾丽莎·莱因福德"
barista,"咖啡师"
bell_pepper,"甜椒,灯笼椒"
benizuwai,"红豆外"
cure_fortune,"治愈财富"
dakusuta,"达库苏塔"
fish.boy,"鱼男孩"
gaou_(babel),"高欧(通天塔)"
giovanna_(guilty_gear),"乔瓦娜(有罪装备)"
hatsutori_hajime,"初鸟始"
holding_another's_tail,"牵着别人的尾巴"
hylian_shield,"海莲盾"
iguro_obanai,"黑黑大花内"
lantern_festival,"元宵节"
life_fiber,"生命纤维"
lynn_minmay,"林恩·敏梅"
mamo_williams,"马莫威廉姆斯"
man_(man-room),"人(人间)"
mazeran,"马泽兰"
miyu_edelfelt_(beast_style),"miyuedelfelt(野兽风格)"
mukiki,"向日葵"
nyotaimori,"女体盛,女泰森"
omniscient_reader's_viewpoint,"无所不知的读者观点"
ripping,"翻录"
samsung_sam,"三星sam"
shatter,"粉碎"
shirako_miso,"白子味噌"
shiranui_mai_(cosplay),"不知火舞(角色扮演)"
soulcalibur_vi,"灵魂之剑vi"
standing_on_person,"站在人身上"
